_id,SL No.,Platform,Bus Route,Starting From,Destination,VIA,Image_Directory
45,45,4-B,265,Kempegowda Bus Stand,KBS-KBS,"MAGADI ROAD, PRASANNA, KAMAKSHIPALYA, SUNKADAKATTE, HEGGANAHALLI, PEENYA 2ND STAGE, JALAHALLI CROSS, YESHWANTHPUR",/Transport_Pics/20.jpg
46,46,4-B,265-B,Kempegowda Bus Stand,TIGALARAPALYA,"MAGADI ROAD, PRASANNA, KAMAKSHIPALYA, SUNKADAKATTE, HEGGANAHALLI, PEENYA 2ND STAGE, ANDRAHALLI",/Transport_Pics/21.jpg
47,47,4-B,265-E,Kempegowda Bus Stand,MATTIHALLI,"MAGADI ROAD, PRASANNA, KAMAKSHIPALYA, SUNKADAKATTE, HEGGANAHALLI, NTTF, JALAHALLI CROSS, MARANAYAKANAHALLI",/Transport_Pics/22.jpg
48,48,4-B,G-7,Kempegowda Bus Stand,JANAPRIYA TOWNSHIP,"SUJATHA, PRASANNA, SUNKADAKATTE, GOLLARAHATTI, KADABAGERE CROSS",/Transport_Pics/23.jpg
49,49,5,88,Kempegowda Bus Stand,BASAVESHWARANAGAR,"SUJATHA TALKIES, DHOBIGHAT",/Transport_Pics/24.jpg
50,50,5,88-A,Kempegowda Bus Stand,"BASAVESHWARANAGAR, SANE GURUVANAHALLI","BHASHYAM CIRCLE, DHOBIGHAT",/Transport_Pics/25.jpg
51,51,5,96,Kempegowda Bus Stand,BASAVESHWARANAGAR,"MALLESHWARAM CIRCLE, SHANKAR MUTT",/Transport_Pics/1.jpg
52,52,5,96-A,Kempegowda Bus Stand,BASAVESHWARANAGAR,"SUJATHA TALKIES, INDUSTRIAL TOWN",/Transport_Pics/2.jpg
53,53,5,96-B,Kempegowda Bus Stand,KAMALANAGARA,"INDUSTRIAL TOWN, BASAVESHWARANAGAR",/Transport_Pics/3.jpg
54,54,5,96-D,Kempegowda Bus Stand,KAMALANAGARA,"MARIYAPPANA PALYA, SHANKAR MUTT",/Transport_Pics/4.jpg
55,55,5,96-E,Kempegowda Bus Stand,BEML LAYOUT,"MALLESHWARAM CIRCLE, MODI HOSPITAL",/Transport_Pics/5.jpg
56,56,5,96-F,Kempegowda Bus Stand,BHEEMAJYOTHINAGAR,"MALLESHWARAM CIRCLE, MARIYAPPANA PALYA",/Transport_Pics/6.jpg
57,57,5,96-G,Kempegowda Bus Stand,SHANKARNAG BUS STAND,"NAGAPPA BLOCK, NAVARANG TALKIES",/Transport_Pics/7.jpg
58,58,6,78-A,Kempegowda Bus Stand,ISKON TEMPLE,"SUJATHA, RAJAJINAGAR 1ST BLOCK",/Transport_Pics/8.jpg
59,59,6,78-E,Kempegowda Bus Stand,YESHWANTHPUR RAILWAY STATION,"SUJATHA, ISKON TEMPLE",/Transport_Pics/9.jpg
60,60,6,80,Kempegowda Bus Stand,MAHALAKSHMI LAYOUT,"SUJATHA, RAJAJINAGAR 1ST BLOCK",/Transport_Pics/10.jpg
61,61,6,80-A,Kempegowda Bus Stand,NANDINI LAYOUT,"SUJATHA, MAHALAKSHMI LAYOUT",/Transport_Pics/11.jpg
62,62,6,80-B,Kempegowda Bus Stand,JAI MARUTHINAGARA CIRCLE,"SUJATHA, RAJAJINAGAR 1ST BLOCK",/Transport_Pics/12.jpg
63,63,6,80-C,Kempegowda Bus Stand,GORAGUNTE PALYA,"ESI, MAHALAKSMI LAYOUT",/Transport_Pics/13.jpg
64,64,6,80-D,Kempegowda Bus Stand,JAI MARUTHINAGAR,"SUJATHA, RAJAJINAGAR 1ST BLOCK",/Transport_Pics/14.jpg
65,65,6,80-E,Kempegowda Bus Stand,KRISHNANANDA NAGAR,"SUJATHA, MAHALAKSHMI LAYOUT",/Transport_Pics/15.jpg
66,66,6,80-F,Kempegowda Bus Stand,JAI BHUVANESHWARI NAGAR,"SUJATHA, KANTEERAVA STUDIO",/Transport_Pics/16.jpg
67,67,6-A,80-G,Kempegowda Bus Stand,SWATHANTHRA YODHARA NAGAR,"RAJAJINAGAR 1ST BLOCK, KANTEERAVA STUDIO",/Transport_Pics/17.jpg
68,68,6-A,80-R,Kempegowda Bus Stand,DR. RAJKUMAR PUNYA BHOOMI,"SUJATHA, MAHALAKSHMI LAYOUT, SHANKARA NAGAR",/Transport_Pics/18.jpg
69,69,6-A,80-K,Kempegowda Bus Stand,SAKAMMA LAYOUT,"SUJATHA, ESI, MAHALAKSHMI LAYOUT, JAI MARUTHI NAGAR",/Transport_Pics/19.jpg
70,70,6-A,80-L,Kempegowda Bus Stand,ASRAYA NAGAR,"ESI, MAHALAKSMI LAYOUT, KANTEERAVA NAGAR",/Transport_Pics/20.jpg
71,71,6-A,89,Kempegowda Bus Stand,KURUBARAHALLI,"SUJATHA, RAJAJINAGAR 1ST BLOCK",/Transport_Pics/21.jpg
72,72,6-A,89-A,Kempegowda Bus Stand,KAVERI NAGAR,"SUJATHA, SHANKAR MUTT",/Transport_Pics/22.jpg
73,73,6-A,89-B,Kempegowda Bus Stand,GELEYARA BALAGA,"SUJATHA, RAJAJINAGAR 1ST BLOCK",/Transport_Pics/23.jpg
74,74,6-A,89-C,Kempegowda Bus Stand,KURUBARAHALLI,"ESI, RAJAJINAGAR 1ST BLOCK",/Transport_Pics/24.jpg
75,75,6-A,89-D,Kempegowda Bus Stand,"KURUBARAHALLI, JC NAGAR","CENTRAL, HARISHCHANDRAGHAT, MODI HOSPITAL",/Transport_Pics/25.jpg
76,76,7,89-E,Kempegowda Bus Stand,KAVERI NAGAR,"SUJATHA, BHEEMAJYOTHINAGAR",/Transport_Pics/1.jpg
77,77,7,89-F,Kempegowda Bus Stand,GELEYARA BALAGA,"SUJATHA, RAJAJINAGAR 1ST BLOCK",/Transport_Pics/2.jpg
78,78,7,252-F,Kempegowda Bus Stand,PEENYA 2ND STAGE,"SUJATHA, MAHALAKSHMI LAYOUT",/Transport_Pics/3.jpg
79,79,7,252-H,Kempegowda Bus Stand,RAJEEVGHANDHI NAGAR,"SUJATHA, MAHALAKSHMI LAYOUT",/Transport_Pics/4.jpg
80,80,7,264,Kempegowda Bus Stand,JALAHALLI CROSS,"ESI, KRISHNANDANAGAR",/Transport_Pics/5.jpg
81,81,7,267-A,Kempegowda Bus Stand,CHOWDESHWARI NAGAR,"MAHALAKSHMI LAYOUT, SHANKARNAGAR",/Transport_Pics/6.jpg
82,82,8-A,45-E,Kempegowda Bus Stand,CHANNAMANNAKERE ACHUKATTU,"KR MARKET, KATHRIGUPPE",/Transport_Pics/7.jpg
83,83,8-A,45-F,Kempegowda Bus Stand,CHANNAMANNAKERE ACHUKATTU,"CHAMARAJAPETE, KATHRIGUPPE",/Transport_Pics/8.jpg
84,84,8-A,45-G,Kempegowda Bus Stand,AGS LAYOUT,"HOSAKEREHALLI CROSS, ITTAMADAVU",/Transport_Pics/9.jpg
85,85,8-B,45-H,Kempegowda Bus Stand,RAGHAVENDRA COLONY,"CORPORATION, CHAMARAJAPETE",/Transport_Pics/10.jpg
86,86,8-B,45-H,Kempegowda Bus Stand,"BHUVANESHWARI NAGAR, MAHALAKSHMI TEMPLE","COTTONPETE, CHAMARAJAPETE, BSK 3RD STAGE",/Transport_Pics/11.jpg
87,87,8-B,45-K,Kempegowda Bus Stand,DATTATREYA NAGAR,"KR MARKET, GANESHABHAVANA, ITTAMADUGU",/Transport_Pics/12.jpg
88,88,8-B,45-M,Kempegowda Bus Stand,CHANNAMMANAKERE ACHUKATTU,"KR MARKET, VIVEKANANDA NAGAR",/Transport_Pics/13.jpg
89,89,8-B,49,Kempegowda Bus Stand,RAGHAVENDRA COLONY,"CORPORATION, CHAMARAJAPETE",/Transport_Pics/14.jpg
90,90,8-B,49-B,Kempegowda Bus Stand,VITTAL NAGAR,"KR MARKET, CHAMARAJAPETE",/Transport_Pics/15.jpg
91,91,8-B,210-P,Kempegowda Bus Stand,CHIKKALLASANDRA,"THYAGARAJA NAGAR, PADMANABHA NAGAR",/Transport_Pics/16.jpg
92,92,8-B,210-W,Kempegowda Bus Stand,KARISHMA HILLS,"CORPORATION, PADMANABHA NAGAR",/Transport_Pics/17.jpg
93,93,8-B,210-X,Kempegowda Bus Stand,CHANDRA NAGAR,"KR MARKET, MANOTYPE",/Transport_Pics/18.jpg
94,94,8-B,210-Z,Kempegowda Bus Stand,NAYDU LAYOUT (CHIKKALLASANDRA),"KR MARKET, BANASHANKARI",/Transport_Pics/19.jpg
95,95,9,210-A,Kempegowda Bus Stand,ISRO LAYOUT,"KR MARKET, KUMARASWAMY LAYOUT",/Transport_Pics/20.jpg
96,96,9,210-E,Kempegowda Bus Stand,VASANTHAPURA,"TOWN HALL, UTTARAHALLI",/Transport_Pics/21.jpg
97,97,9,210-I,Kempegowda Bus Stand,CHIKKALLASANDRA,"CORPORATION, BANASHANKRI, BDA COMPLEX",/Transport_Pics/22.jpg
98,98,9,210-J,Kempegowda Bus Stand,RAMANJENEYA LAYOUT,"CORPORATION, PADMANABHA NAGAR",/Transport_Pics/23.jpg
99,99,9,210-K,Kempegowda Bus Stand,UTTARAHALLI,"CORPORATION, BANASHANKRI, BDA COMPLEX",/Transport_Pics/24.jpg
100,100,9,210-KA,Kempegowda Bus Stand,BHARATH CO-OPERATIVE SOCIETY,"KR MARKET, PADMANABHA NAGAR",/Transport_Pics/25.jpg
101,101,9,210-NA,Kempegowda Bus Stand,POORNAPRAGNA LAYOUT,"PADMANABHA NAGARA, UTTARAHALLI",/Transport_Pics/1.jpg
102,102,10,36,Kempegowda Bus Stand,SREENAGARA,"CORPORATION, LALBAGH MAIN GATE",/Transport_Pics/2.jpg
103,103,10,36-A,Kempegowda Bus Stand,AVALAHALLI BDA PARK,"KR MARKET, APEX BANK",/Transport_Pics/3.jpg
104,104,10,36-B,Kempegowda Bus Stand,GIRINAGARA EXTENSION,"CHAMARAJPETE, APEX BANK",/Transport_Pics/4.jpg
105,105,10,36-D,Kempegowda Bus Stand,MUNESHWARA BLOCK,"KR MARKET, APEX BANK",/Transport_Pics/5.jpg
106,106,10,36-E,Kempegowda Bus Stand,GIRINAGARA,"CORPORATION, APEX BANK",/Transport_Pics/6.jpg
107,107,10,36-F,Kempegowda Bus Stand,KALIDASA LAYOUT,"KR MARKET, SREENAGARA",/Transport_Pics/7.jpg
108,108,10,36-H,Kempegowda Bus Stand,GIRINAGARA,"CHAMARAJPETE, APEX BANK",/Transport_Pics/8.jpg
109,109,10,36-G,Kempegowda Bus Stand,AVALAHALLI NEW BDA LAYOUT,"KR MARKET, NAGENDRA BLOCK",/Transport_Pics/9.jpg
110,110,10,10,Kempegowda Bus Stand,AVALAHALLI BDA PARK,"CHAMARAJAPETE, ASHRAMA",/Transport_Pics/10.jpg
111,111,11,2,Kempegowda Bus Stand,JP NAGARA 6TH PHASE,"LALBAGH MAIN GATE, JAYNAGAR 4TH BLOCK",/Transport_Pics/11.jpg
112,112,11,2-A,Kempegowda Bus Stand,JP NAGARA 1ST PHASE,"CORPORATION, JAYNAGAR 4TH BLOCK",/Transport_Pics/12.jpg
113,113,11,2-E,Kempegowda Bus Stand,JP NAGAR 6TH PHASE,"LALBAGH MAIN GATE, JAYNAGAR 4TH BLOCK",/Transport_Pics/13.jpg
114,114,11,2-G,Kempegowda Bus Stand,JP NAGARA 3RD PHASE,"CORPORATION, JAYNAGAR 4TH BLOCK",/Transport_Pics/14.jpg
115,115,11-A,210-R,Kempegowda Bus Stand,VASANTHAPURA,"MONOTYPE, ISRO LAYOUT",/Transport_Pics/15.jpg
116,116,11-A,210-U,Kempegowda Bus Stand,KUMARSWAMY LAYOUT,"KR MARKET, MONOTYPE",/Transport_Pics/16.jpg
117,117,11-A,211-B,Kempegowda Bus Stand,SOMANAHALLI,"BANASHANKARI, KAGGALIPURA",/Transport_Pics/17.jpg
118,118,11-A,211-F,Kempegowda Bus Stand,KAGGALIPURA,"BANASHANKARI, KONANKUNTE CROSS",/Transport_Pics/18.jpg
119,119,11-A,211-L,Kempegowda Bus Stand,BCC LAYOUT (RAGUVANAHALLI),"KR MARKET, CORPORATION",/Transport_Pics/19.jpg
120,120,11-A,212-B,Kempegowda Bus Stand,MUNESHWARANAGAR,"CORPORATION, BANASHANKRI",/Transport_Pics/20.jpg
121,121,11-A,212-D,Kempegowda Bus Stand,AGARA,"CORPORATION, TALAGHATTAPURA",/Transport_Pics/21.jpg
122,122,11-A,213-Z,Kempegowda Bus Stand,HAROHALLI,"KR MARKET, UDAYANAPALYA",/Transport_Pics/22.jpg
123,123,11-B,215-R,Kempegowda Bus Stand,ESHAWARA LAYOUT,"VIJAYA COLLEGE, PUTTENAHALLI",/Transport_Pics/23.jpg
124,124,11-B,215-G,Kempegowda Bus Stand,SHRINIDHI LAYOUT (KOTTANUR),"KR MARKET, KONANAKUNTE CROSS",/Transport_Pics/24.jpg
125,125,11-B,215-H,Kempegowda Bus Stand,JAMBUSAVARI DINNE,"VIJAYA COLLEGE, KOTTANURU DINNE",/Transport_Pics/25.jpg
126,126,11-B,215-I,Kempegowda Bus Stand,PUNJAB NATIONAL BANK LAYOUT,"CORPORATION, JARAGANAHALLI",/Transport_Pics/1.jpg
127,127,11-B,215-J,Kempegowda Bus Stand,KOTTANURU,"VIJAYA COLLEGE, CHANCHAGHATTA",/Transport_Pics/2.jpg
128,128,11-B,215-M,Kempegowda Bus Stand,VINAYAKANAGAR,"CORPORATION, JAYNAGAR 5TH BLOCK",/Transport_Pics/3.jpg
129,129,11-B,215-N,Kempegowda Bus Stand,ANJANAPURA,"KR MARKET, SOUTH END CIRCLE",/Transport_Pics/4.jpg
130,130,11-B,215-NA,Kempegowda Bus Stand,AMRUTHANAGAR,MAHILA SEVA SAMAJA ANJANAPURA,/Transport_Pics/5.jpg
131,131,12,12,Kempegowda Bus Stand,BANASHANKARI,"LALBAGH MAIN GATE, VIJAYA COLLEGE",/Transport_Pics/6.jpg
132,132,12,12-A,Kempegowda Bus Stand,BANASHANKARI 2ND STAGE,"CORPORATION, VIJAYA COLLEGE",/Transport_Pics/7.jpg
133,133,12,12-B,Kempegowda Bus Stand,PADMANABHA NAGAR,"LALBAGH MAIN GATE, BANASHANKARI 2ND STAGE",/Transport_Pics/8.jpg
134,134,12,12-C,Kempegowda Bus Stand,PADMANABHA NAGAR,"CORPORATION, VIJAYA COLLEGE, TATA SILK FARM",/Transport_Pics/9.jpg
135,135,12,12-D,Kempegowda Bus Stand,KADIRENAHALLI PARK,"CORPORATION, VIJAYA COLLEGE",/Transport_Pics/10.jpg
136,136,12,12-E,Kempegowda Bus Stand,BANASHANKARI,"CORPORATION, SOUTHEND CIRCLE",/Transport_Pics/11.jpg
137,137,12,12-F,Kempegowda Bus Stand,CHIKKALLASANDRA,"LALBAGH MAIN GATE, MANOTYPE",/Transport_Pics/12.jpg
138,138,12,15-C,Kempegowda Bus Stand,KUMARSWAMY LAYOUT,"CORPORATION, VIJAYA COLLEGE, TATA SILK FARM",/Transport_Pics/13.jpg
139,139,12,15-E,Kempegowda Bus Stand,KUMARSWAMY LAYOUT,"KR MARKET, MANOTYPE",/Transport_Pics/14.jpg
140,140,12-A,15-G,Kempegowda Bus Stand,KUMARSWAMY LAYOUT 2ND STAGE,"TOWN HALL, MANOTYPE",/Transport_Pics/15.jpg
141,141,12-A,15-H,Kempegowda Bus Stand,JHB COLONY,"CORPORATION, KADIRENAHALLI CROSS",/Transport_Pics/16.jpg
142,142,12-A,15-J,Kempegowda Bus Stand,BANASHANKARI 2ND STAGE,"KR MARKET, MANOTYPE",/Transport_Pics/17.jpg
143,143,12-A,15-L,Kempegowda Bus Stand,MINAJ NAGAR,"KR MARKET, KADIRENAHALLI CROSS",/Transport_Pics/18.jpg
144,144,13-A,25-F,Kempegowda Bus Stand,BTM LAYOUT,"CORPORATION, VIJAYA COLLEGE",/Transport_Pics/19.jpg
145,145,13-A,25-G,Kempegowda Bus Stand,BTM LAYOUT,"CORPORATION, VIJAYA COLLEGE",/Transport_Pics/20.jpg
146,146,13-A,25-H,Kempegowda Bus Stand,KUVEMPUNAGAR,"CORPORATION, LALBAGH",/Transport_Pics/21.jpg
147,147,13-A,25-K,Kempegowda Bus Stand,"JP NAGAR 4TH STAGE, DOLLAR'S COLONY","MAHARANI COLLEGE, JAYNAGAR 4TH BLOCK",/Transport_Pics/22.jpg
148,148,13-A,25-N,Kempegowda Bus Stand,BTM 7TH MAIN ROAD,"CORPORATION, ASHOKA PILLAR, JAYNAGAR 4TH BLOCK EAST",/Transport_Pics/23.jpg
149,149,13-A,25-J,Kempegowda Bus Stand,KUVEMPUNAGAR,"CORPORATION, ASHOKA PILLAR",/Transport_Pics/24.jpg
150,150,13-A,364-A,Kempegowda Bus Stand,MICO SHRAMAJEEVI COLONY,"CORPORATION, SOUTHEND CIRCLE, BILEKALLI",/Transport_Pics/25.jpg
151,151,13-A,364-B,Kempegowda Bus Stand,DEVARACHIKKANAHALLI,"CORPORATION, SOUTHEND CIRCLE, VIJAYA BANK COLONY",/Transport_Pics/1.jpg
152,152,13-A,364-C,Kempegowda Bus Stand,VIJAYA BANK COLONY,"CORPORATION, SOUTHEND CIRCLE",/Transport_Pics/2.jpg
153,153,13-B,364-F,Kempegowda Bus Stand,NARAYANAPPANA HALLI,"SHANTINAGAR, JAYADEVA HOSPITAL",/Transport_Pics/3.jpg
154,154,13-B,364-G,Kempegowda Bus Stand,KODICHIKKANA HALLI,"CORPORATION, JAYADEVA HOSPITAL",/Transport_Pics/4.jpg
155,155,14-A,165-G,Kempegowda Bus Stand,KORAMANGALA 8TH BLOCK,"CORPORATION, WILSON GARDEN",/Transport_Pics/5.jpg
156,156,14-A,168-D,Kempegowda Bus Stand,TAVAREKERE,"CORPORATION, NIMHANS",/Transport_Pics/6.jpg
157,157,14-A,168-E,Kempegowda Bus Stand,JAI BHEEMANAGARA,"CORPORATION, NIMHANS",/Transport_Pics/7.jpg
158,158,14-A,168-F,Kempegowda Bus Stand,OLD GURAPPANAPALYA,"SHANTHINAGAR, NIMHANS",/Transport_Pics/8.jpg
